industry,period,amount
  Government and government enterprises,2009:Q2,1964425
All industry total,2009:Q3,14284750
  Private industries,2009:Q3,12312673
"      Agriculture, forestry, fishing, and hunting",2009:Q3,137955
"      Mining, quarrying, and oil and gas extraction",2009:Q3,280006
      Utilities,2009:Q3,243881
      Construction,2009:Q3,570516
      Manufacturing,2009:Q3,1724641
          Durable goods manufacturing,2009:Q3,858853
          Nondurable goods manufacturing,2009:Q3,865788
      Wholesale trade,2009:Q3,814003
      Retail trade,2009:Q3,836315
      Transportation and warehousing,2009:Q3,393380
      Information,2009:Q3,698646
      Finance and insurance,2009:Q3,990228
      Real estate and rental and leasing,2009:Q3,1903757
"      Professional, scientific, and technical services",2009:Q3,991014
      Management of companies and enterprises,2009:Q3,250776
      Administrative and support and waste management and remediation services,2009:Q3,409015
      Educational services,2009:Q3,163422
      Health care and social assistance,2009:Q3,1053877
"      Arts, entertainment, and recreation",2009:Q3,139272
      Accommodation and food services,2009:Q3,383593
      Other services (except government and government enterprises),2009:Q3,328376
  Government and government enterprises,2009:Q3,1972077
All industry total,2009:Q4,14466139
  Private industries,2009:Q4,12484269
"      Agriculture, forestry, fishing, and hunting",2009:Q4,150120
"      Mining, quarrying, and oil and gas extraction",2009:Q4,304035
      Utilities,2009:Q4,256378
      Construction,2009:Q4,551533
      Manufacturing,2009:Q4,1771665
          Durable goods manufacturing,2009:Q4,884900
          Nondurable goods manufacturing,2009:Q4,886765
      Wholesale trade,2009:Q4,836734
      Retail trade,2009:Q4,857429
      Transportation and warehousing,2009:Q4,403212
      Information,2009:Q4,719898
      Finance and insurance,2009:Q4,996468
      Real estate and rental and leasing,2009:Q4,1898354
"      Professional, scientific, and technical services",2009:Q4,985804
      Management of companies and enterprises,2009:Q4,252676
      Administrative and support and waste management and remediation services,2009:Q4,416015
      Educational services,2009:Q4,164859
      Health care and social assistance,2009:Q4,1065980
"      Arts, entertainment, and recreation",2009:Q4,138939
      Accommodation and food services,2009:Q4,384541
      Other services (except government and government enterprises),2009:Q4,329630
  Government and government enterprises,2009:Q4,1981870
All industry total,2010:Q1,14579073
  Private industries,2010:Q1,12568053
"      Agriculture, forestry, fishing, and hunting",2010:Q1,149339
"      Mining, quarrying, and oil and gas extraction",2010:Q1,329579
      Utilities,2010:Q1,267397
      Construction,2010:Q1,533281
      Manufacturing,2010:Q1,1784261
          Durable goods manufacturing,2010:Q1,903027
          Nondurable goods manufacturing,2010:Q1,881233
      Wholesale trade,2010:Q1,844443
      Retail trade,2010:Q1,854620
      Transportation and warehousing,2010:Q1,407084
      Information,2010:Q1,714729
      Finance and insurance,2010:Q1,995725
      Real estate and rental and leasing,2010:Q1,1919287
"      Professional, scientific, and technical services",2010:Q1,997818
      Management of companies and enterprises,2010:Q1,260127
      Administrative and support and waste management and remediation services,2010:Q1,427188
      Educational services,2010:Q1,166823
      Health care and social assistance,2010:Q1,1061161
"      Arts, entertainment, and recreation",2010:Q1,141274
      Accommodation and food services,2010:Q1,387320
      Other services (except government and government enterprises),2010:Q1,326597
  Government and government enterprises,2010:Q1,2011021
All industry total,2010:Q2,14784619
  Private industries,2010:Q2,12747020
"      Agriculture, forestry, fishing, and hunting",2010:Q2,156327
"      Mining, quarrying, and oil and gas extraction",2010:Q2,319478
      Utilities,2010:Q2,263210
      Construction,2010:Q2,543343
      Manufacturing,2010:Q2,1814188
          Durable goods manufacturing,2010:Q2,947319
          Nondurable goods manufacturing,2010:Q2,866869
      Wholesale trade,2010:Q2,861545
      Retail trade,2010:Q2,871669
      Transportation and warehousing,2010:Q2,420505
      Information,2010:Q2,721804
      Finance and insurance,2010:Q2,1008039
      Real estate and rental and leasing,2010:Q2,1942603
"      Professional, scientific, and technical services",2010:Q2,1010866
      Management of companies and enterprises,2010:Q2,264259
      Administrative and support and waste management and remediation services,2010:Q2,436229
      Educational services,2010:Q2,168824
      Health care and social assistance,2010:Q2,1074584
"      Arts, entertainment, and recreation",2010:Q2,144058
      Accommodation and food services,2010:Q2,394603
      Other services (except government and government enterprises),2010:Q2,330885
  Government and government enterprises,2010:Q2,2037599
All industry total,2010:Q3,14952355
  Private industries,2010:Q3,12911587
"      Agriculture, forestry, fishing, and hunting",2010:Q3,164048
"      Mining, quarrying, and oil and gas extraction",2010:Q3,326551
      Utilities,2010:Q3,267778
      Construction,2010:Q3,544791
      Manufacturing,2010:Q3,1848289
          Durable goods manufacturing,2010:Q3,980683
          Nondurable goods manufacturing,2010:Q3,867606
      Wholesale trade,2010:Q3,884318
      Retail trade,2010:Q3,871774
      Transportation and warehousing,2010:Q3,433419
      Information,2010:Q3,742477
      Finance and insurance,2010:Q3,996196
      Real estate and rental and leasing,2010:Q3,1947982
"      Professional, scientific, and technical services",2010:Q3,1032424
      Management of companies and enterprises,2010:Q3,269780
      Administrative and support and waste management and remediation services,2010:Q3,443994
      Educational services,2010:Q3,170341
      Health care and social assistance,2010:Q3,1087099
"      Arts, entertainment, and recreation",2010:Q3,145098
      Accommodation and food services,2010:Q3,399866
      Other services (except government and government enterprises),2010:Q3,335361
  Government and government enterprises,2010:Q3,2040768
All industry total,2010:Q4,15123078
  Private industries,2010:Q4,13079407
"      Agriculture, forestry, fishing, and hunting",2010:Q4,171151
"      Mining, quarrying, and oil and gas extraction",2010:Q4,351274
      Utilities,2010:Q4,269561
      Construction,2010:Q4,545053
      Manufacturing,2010:Q4,1875602
          Durable goods manufacturing,2010:Q4,995353
          Nondurable goods manufacturing,2010:Q4,880250
      Wholesale trade,2010:Q4,883571
      Retail trade,2010:Q4,877135
      Transportation and warehousing,2010:Q4,439517
      Information,2010:Q4,741707
      Finance and insurance,2010:Q4,1023366
      Real estate and rental and leasing,2010:Q4,1973012
"      Professional, scientific, and technical services",2010:Q4,1046937
      Management of companies and enterprises,2010:Q4,278655
      Administrative and support and waste management and remediation services,2010:Q4,450621
      Educational services,2010:Q4,171097
      Health care and social assistance,2010:Q4,1093909
"      Arts, entertainment, and recreation",2010:Q4,147353
      Accommodation and food services,2010:Q4,403110
      Other services (except government and government enterprises),2010:Q4,336778
  Government and government enterprises,2010:Q4,2043671
All industry total,2011:Q1,15128719
  Private industries,2011:Q1,13080044
"      Agriculture, forestry, fishing, and hunting",2011:Q1,197945
"      Mining, quarrying, and oil and gas extraction",2011:Q1,368143
      Utilities,2011:Q1,260551
      Construction,2011:Q1,528734
      Manufacturing,2011:Q1,1864719
          Durable goods manufacturing,2011:Q1,990682
          Nondurable goods manufacturing,2011:Q1,874037
      Wholesale trade,2011:Q1,886396
      Retail trade,2011:Q1,878657
      Transportation and warehousing,2011:Q1,439807
      Information,2011:Q1,724506
      Finance and insurance,2011:Q1,1029270
      Real estate and rental and leasing,2011:Q1,1961220
"      Professional, scientific, and technical services",2011:Q1,1052980
      Management of companies and enterprises,2011:Q1,281194
      Administrative and support and waste management and remediation services,2011:Q1,450450
      Educational services,2011:Q1,173675
      Health care and social assistance,2011:Q1,1095671
"      Arts, entertainment, and recreation",2011:Q1,146083
      Accommodation and food services,2011:Q1,405407
      Other services (except government and government enterprises),2011:Q1,334637
  Government and government enterprises,2011:Q1,2048675
