,Year,Period,Label,Observation Value
420,1983,M01,1983 Jan,11.4
421,1983,M02,1983 Feb,11.3
422,1983,M03,1983 Mar,10.8
423,1983,M04,1983 Apr,10.0
424,1983,M05,1983 May,9.8
425,1983,M06,1983 Jun,10.2
426,1983,M07,1983 Jul,9.4
427,1983,M08,1983 Aug,9.2
428,1983,M09,1983 Sep,8.8
429,1983,M10,1983 Oct,8.4
430,1983,M11,1983 Nov,8.1
431,1983,M12,1983 Dec,8.0
432,1984,M01,1984 Jan,8.8
433,1984,M02,1984 Feb,8.4
434,1984,M03,1984 Mar,8.1
435,1984,M04,1984 Apr,7.6
436,1984,M05,1984 May,7.2
437,1984,M06,1984 Jun,7.4
438,1984,M07,1984 Jul,7.5
439,1984,M08,1984 Aug,7.3
440,1984,M09,1984 Sep,7.1
441,1984,M10,1984 Oct,7.0
442,1984,M11,1984 Nov,6.9
443,1984,M12,1984 Dec,7.0
444,1985,M01,1985 Jan,8.0
445,1985,M02,1985 Feb,7.8
446,1985,M03,1985 Mar,7.5
447,1985,M04,1985 Apr,7.1
448,1985,M05,1985 May,7.0
449,1985,M06,1985 Jun,7.5
450,1985,M07,1985 Jul,7.4
451,1985,M08,1985 Aug,6.9
452,1985,M09,1985 Sep,6.9
453,1985,M10,1985 Oct,6.8
454,1985,M11,1985 Nov,6.7
455,1985,M12,1985 Dec,6.7
456,1986,M01,1986 Jan,7.3
457,1986,M02,1986 Feb,7.8
458,1986,M03,1986 Mar,7.5
459,1986,M04,1986 Apr,7.0
460,1986,M05,1986 May,7.0
461,1986,M06,1986 Jun,7.3
462,1986,M07,1986 Jul,7.0
463,1986,M08,1986 Aug,6.7
464,1986,M09,1986 Sep,6.8
465,1986,M10,1986 Oct,6.6
466,1986,M11,1986 Nov,6.6
467,1986,M12,1986 Dec,6.3
468,1987,M01,1987 Jan,7.3
469,1987,M02,1987 Feb,7.2
470,1987,M03,1987 Mar,6.9
471,1987,M04,1987 Apr,6.2
472,1987,M05,1987 May,6.1
473,1987,M06,1987 Jun,6.3
474,1987,M07,1987 Jul,6.1
475,1987,M08,1987 Aug,5.8
476,1987,M09,1987 Sep,5.7
477,1987,M10,1987 Oct,5.7
478,1987,M11,1987 Nov,5.6
479,1987,M12,1987 Dec,5.4
480,1988,M01,1988 Jan,6.3
481,1988,M02,1988 Feb,6.2
482,1988,M03,1988 Mar,5.9
483,1988,M04,1988 Apr,5.3
484,1988,M05,1988 May,5.4
485,1988,M06,1988 Jun,5.5
486,1988,M07,1988 Jul,5.5
487,1988,M08,1988 Aug,5.4
488,1988,M09,1988 Sep,5.2
489,1988,M10,1988 Oct,5.0
490,1988,M11,1988 Nov,5.2
491,1988,M12,1988 Dec,5.0
492,1989,M01,1989 Jan,6.0
493,1989,M02,1989 Feb,5.6
494,1989,M03,1989 Mar,5.2
495,1989,M04,1989 Apr,5.1
496,1989,M05,1989 May,5.0
497,1989,M06,1989 Jun,5.5
498,1989,M07,1989 Jul,5.3
499,1989,M08,1989 Aug,5.1
500,1989,M09,1989 Sep,5.1
501,1989,M10,1989 Oct,5.0
502,1989,M11,1989 Nov,5.2
503,1989,M12,1989 Dec,5.1
504,1990,M01,1990 Jan,6.0
505,1990,M02,1990 Feb,5.9
506,1990,M03,1990 Mar,5.5
507,1990,M04,1990 Apr,5.3
508,1990,M05,1990 May,5.2
509,1990,M06,1990 Jun,5.4
510,1990,M07,1990 Jul,5.6
511,1990,M08,1990 Aug,5.5
512,1990,M09,1990 Sep,5.6
513,1990,M10,1990 Oct,5.5
514,1990,M11,1990 Nov,5.9
515,1990,M12,1990 Dec,6.0
516,1991,M01,1991 Jan,7.1
517,1991,M02,1991 Feb,7.3
518,1991,M03,1991 Mar,7.2
519,1991,M04,1991 Apr,6.5
520,1991,M05,1991 May,6.7
521,1991,M06,1991 Jun,7.0
522,1991,M07,1991 Jul,6.8
523,1991,M08,1991 Aug,6.6
524,1991,M09,1991 Sep,6.5
525,1991,M10,1991 Oct,6.5
526,1991,M11,1991 Nov,6.7
527,1991,M12,1991 Dec,6.9
528,1992,M01,1992 Jan,8.1
529,1992,M02,1992 Feb,8.2
530,1992,M03,1992 Mar,7.8
531,1992,M04,1992 Apr,7.2
532,1992,M05,1992 May,7.3
533,1992,M06,1992 Jun,8.0
534,1992,M07,1992 Jul,7.7
535,1992,M08,1992 Aug,7.4
536,1992,M09,1992 Sep,7.3
537,1992,M10,1992 Oct,6.9
538,1992,M11,1992 Nov,7.1
539,1992,M12,1992 Dec,7.1
540,1993,M01,1993 Jan,8.0
541,1993,M02,1993 Feb,7.8
542,1993,M03,1993 Mar,7.4
543,1993,M04,1993 Apr,6.9
544,1993,M05,1993 May,6.8
545,1993,M06,1993 Jun,7.2
546,1993,M07,1993 Jul,7.0
547,1993,M08,1993 Aug,6.6
548,1993,M09,1993 Sep,6.4
549,1993,M10,1993 Oct,6.4
550,1993,M11,1993 Nov,6.2
551,1993,M12,1993 Dec,6.1
552,1994,M01,1994 Jan,7.3
553,1994,M02,1994 Feb,7.1
554,1994,M03,1994 Mar,6.8
555,1994,M04,1994 Apr,6.2
556,1994,M05,1994 May,5.9
557,1994,M06,1994 Jun,6.2
558,1994,M07,1994 Jul,6.2
559,1994,M08,1994 Aug,5.9
560,1994,M09,1994 Sep,5.6
561,1994,M10,1994 Oct,5.4
562,1994,M11,1994 Nov,5.3
563,1994,M12,1994 Dec,5.1
564,1995,M01,1995 Jan,6.2
565,1995,M02,1995 Feb,5.9
566,1995,M03,1995 Mar,5.7
567,1995,M04,1995 Apr,5.6
568,1995,M05,1995 May,5.5
569,1995,M06,1995 Jun,5.8
570,1995,M07,1995 Jul,5.9
571,1995,M08,1995 Aug,5.6
572,1995,M09,1995 Sep,5.4
573,1995,M10,1995 Oct,5.2
574,1995,M11,1995 Nov,5.3
575,1995,M12,1995 Dec,5.2
576,1996,M01,1996 Jan,6.3
577,1996,M02,1996 Feb,6.0
578,1996,M03,1996 Mar,5.8
579,1996,M04,1996 Apr,5.4
580,1996,M05,1996 May,5.4
581,1996,M06,1996 Jun,5.5
582,1996,M07,1996 Jul,5.6
583,1996,M08,1996 Aug,5.1
584,1996,M09,1996 Sep,5.0
585,1996,M10,1996 Oct,4.9
586,1996,M11,1996 Nov,5.0
587,1996,M12,1996 Dec,5.0
588,1997,M01,1997 Jan,5.9
